"date","device","failure","attribute1","attribute2","attribute3","attribute4","attribute5","attribute6","attribute7","attribute8","attribute9","l.attribute1","l.attribute2","l.attribute3","l.attribute4","l.attribute5","l.attribute6","l.attribute7","l.attribute8","l.attribute9"
2015-01-02,"S1F023H2",0,161679800,0,0,1,19,495730,16,16,3,141503600,0,0,1,19,494462,16,16,3
2015-01-03,"S1F023H2",0,182358672,0,0,1,19,496974,16,16,3,161679800,0,0,1,19,495730,16,16,3
2015-01-04,"S1F023H2",0,204752808,0,0,1,19,497559,16,16,3,182358672,0,0,1,19,496974,16,16,3
2015-01-05,"S1F023H2",0,226982888,0,0,1,19,498753,16,16,3,204752808,0,0,1,19,497559,16,16,3
2015-01-06,"S1F023H2",0,10387472,0,0,1,19,499964,16,16,3,226982888,0,0,1,19,498753,16,16,3
2015-01-07,"S1F023H2",0,30083248,0,0,1,19,501239,16,16,3,10387472,0,0,1,19,499964,16,16,3
2015-01-08,"S1F023H2",0,55079280,0,0,1,19,502542,16,16,3,30083248,0,0,1,19,501239,16,16,3
2015-01-09,"S1F023H2",0,78898848,0,0,1,19,503812,16,16,3,55079280,0,0,1,19,502542,16,16,3
2015-01-10,"S1F023H2",0,107573856,0,0,1,19,505079,16,16,3,78898848,0,0,1,19,503812,16,16,3
2015-01-11,"S1F023H2",0,134464552,0,0,1,19,505504,16,16,3,107573856,0,0,1,19,505079,16,16,3
2015-01-12,"S1F023H2",0,156754936,0,0,1,19,506684,16,16,3,134464552,0,0,1,19,505504,16,16,3
2015-01-13,"S1F023H2",0,177478384,0,0,1,19,507971,16,16,3,156754936,0,0,1,19,506684,16,16,3
2015-01-14,"S1F023H2",0,203744280,0,0,1,19,509250,16,16,3,177478384,0,0,1,19,507971,16,16,3
2015-01-15,"S1F023H2",0,222474632,0,0,1,19,510519,16,16,3,203744280,0,0,1,19,509250,16,16,3
2015-01-16,"S1F023H2",0,243825496,0,0,1,19,511783,16,16,3,222474632,0,0,1,19,510519,16,16,3
2015-01-17,"S1F023H2",0,20761856,0,0,1,19,513110,16,16,3,243825496,0,0,1,19,511783,16,16,3
