"time","s_Aguascalientes","s_Baja California","s_Baja California Sur","s_Campeche","s_Chiapas","s_Chihuahua","s_Ciudad de Mexico","s_Coahuila de Zaragoza","s_Colima","s_Durango","s_Guanajuato","s_Guerrero","s_Hidalgo","s_Jalisco","s_Mexico","s_Michoacan de Ocampo","s_Morelos","s_Nayarit","s_Nuevo Leon","s_Oaxaca","s_Puebla","s_Queretaro","s_Quintana Roo","s_San Luis Potosi","s_Sinaloa","s_Sonora","s_Tabasco","s_Tamaulipas","s_Tlaxcala","s_Veracruz de Ignacio de la Llave","s_Yucatan","s_Zacatecas","e_Aguascalientes","e_Baja California","e_Baja California Sur","e_Campeche","e_Chiapas","e_Chihuahua","e_Ciudad de Mexico","e_Coahuila de Zaragoza","e_Colima","e_Durango","e_Guanajuato","e_Guerrero","e_Hidalgo","e_Jalisco","e_Mexico","e_Michoacan de Ocampo","e_Morelos","e_Nayarit","e_Nuevo Leon","e_Oaxaca","e_Puebla","e_Queretaro","e_Quintana Roo","e_San Luis Potosi","e_Sinaloa","e_Sonora","e_Tabasco","e_Tamaulipas","e_Tlaxcala","e_Veracruz de Ignacio de la Llave","e_Yucatan","e_Zacatecas","is_Aguascalientes","is_Baja California","is_Baja California Sur","is_Campeche","is_Chiapas","is_Chihuahua","is_Ciudad de Mexico","is_Coahuila de Zaragoza","is_Colima","is_Durango","is_Guanajuato","is_Guerrero","is_Hidalgo","is_Jalisco","is_Mexico","is_Michoacan de Ocampo","is_Morelos","is_Nayarit","is_Nuevo Leon","is_Oaxaca","is_Puebla","is_Queretaro","is_Quintana Roo","is_San Luis Potosi","is_Sinaloa","is_Sonora","is_Tabasco","is_Tamaulipas","is_Tlaxcala","is_Veracruz de Ignacio de la Llave","is_Yucatan","is_Zacatecas","ia_Aguascalientes","ia_Baja California","ia_Baja California Sur","ia_Campeche","ia_Chiapas","ia_Chihuahua","ia_Ciudad de Mexico","ia_Coahuila de Zaragoza","ia_Colima","ia_Durango","ia_Guanajuato","ia_Guerrero","ia_Hidalgo","ia_Jalisco","ia_Mexico","ia_Michoacan de Ocampo","ia_Morelos","ia_Nayarit","ia_Nuevo Leon","ia_Oaxaca","ia_Puebla","ia_Queretaro","ia_Quintana Roo","ia_San Luis Potosi","ia_Sinaloa","ia_Sonora","ia_Tabasco","ia_Tamaulipas","ia_Tlaxcala","ia_Veracruz de Ignacio de la Llave","ia_Yucatan","ia_Zacatecas","r_Aguascalientes","r_Baja California","r_Baja California Sur","r_Campeche","r_Chiapas","r_Chihuahua","r_Ciudad de Mexico","r_Coahuila de Zaragoza","r_Colima","r_Durango","r_Guanajuato","r_Guerrero","r_Hidalgo","r_Jalisco","r_Mexico","r_Michoacan de Ocampo","r_Morelos","r_Nayarit","r_Nuevo Leon","r_Oaxaca","r_Puebla","r_Queretaro","r_Quintana Roo","r_San Luis Potosi","r_Sinaloa","r_Sonora","r_Tabasco","r_Tamaulipas","r_Tlaxcala","r_Veracruz de Ignacio de la Llave","r_Yucatan","r_Zacatecas","y_Aguascalientes","y_Baja California","y_Baja California Sur","y_Campeche","y_Chiapas","y_Chihuahua","y_Ciudad de Mexico","y_Coahuila de Zaragoza","y_Colima","y_Durango","y_Guanajuato","y_Guerrero","y_Hidalgo","y_Jalisco","y_Mexico","y_Michoacan de Ocampo","y_Morelos","y_Nayarit","y_Nuevo Leon","y_Oaxaca","y_Puebla","y_Queretaro","y_Quintana Roo","y_San Luis Potosi","y_Sinaloa","y_Sonora","y_Tabasco","y_Tamaulipas","y_Tlaxcala","y_Veracruz de Ignacio de la Llave","y_Yucatan","y_Zacatecas"
0,12787.292974727,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715470.531206088,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168410.86391322,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,0,0,0,0,0,0,1.601083221,0,0,0,0,0,0,0,1.3921081026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202166442,0,0,0,0,0,0,0,2.787330541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.601083221,0,0,0,0,0,0,0,1.3921081026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202166442,0,0,0,0,0,0,0,2.787330541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,12787.2929747269,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715470.343835159,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168410.57999839,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,8.20635161707372e-11,0,0,0,0,0,1.7138584658135,0,0,0,0,0,0,0,1.60849427557733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45622241169932e-12,0,0,0,0,0,2.58919666296503,0,0,0,0,0,0,0,2.25610629783651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87004224022765e-08,0,0,0,0,0,1.26125583666821,0,0,0,0,0,0,0,1.09663535701831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49980036121217e-08,0,0,0,0,0,1.02739284738946,0,0,0,0,0,0,0,0.894225642507793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73398760984083e-12,0,0,0,0,0,3.2767621260227,0,0,0,0,0,0,0,2.85485919476261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,12787.2929747267,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715470.193342007,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168410.35163756,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,2.89814086675106e-10,0,0,0,0,0,1.78558731247189,0,0,0,0,0,0,0,1.7609989807352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09217052472008e-12,0,0,0,0,0,2.11033868094021,0,0,0,0,0,0,0,1.8453509170738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51536873627925e-08,0,0,0,0,0,0.993693417478054,0,0,0,0,0,0,0,0.863995474955691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62593929383816e-08,0,0,0,0,0,1.85257755385575,0,0,0,0,0,0,0,1.61347702802363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7884655754139e-12,0,0,0,0,0,3.35552643127401,0,0,0,0,0,0,0,2.93071531745313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,12787.2929747264,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715470.071715452,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168410.16647504,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,5.58412526771667e-10,0,0,0,0,0,1.8259239460777,0,0,0,0,0,0,0,1.86453797147495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2863748330691e-11,0,0,0,0,0,1.73545614205636,0,0,0,0,0,0,0,1.5270076473064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33011449422024e-08,0,0,0,0,0,0.782962492510394,0,0,0,0,0,0,0,0.680769378855173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17230646766127e-07,0,0,0,0,0,2.51948093914773,0,0,0,0,0,0,0,2.19666992395924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8526688156467e-11,0,0,0,0,0,3.43681635271449,0,0,0,0,0,0,0,3.01233884752081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12787.2929747261,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.972709736,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168410.01494498,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,8.45239613998979e-10,0,0,0,0,0,1.8423689953919,0,0,0,0,0,0,0,1.93063868916313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58722739341798e-11,0,0,0,0,0,1.44118986918768,0,0,0,0,0,0,0,1.27954363831233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59624588108863e-08,0,0,0,0,0,0.61692066714439,0,0,0,0,0,0,0,0.536399512610408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93054067464297e-07,0,0,0,0,0,3.06234970454852,0,0,0,0,0,0,0,2.6739331390002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98617537167451e-11,0,0,0,0,0,3.51937701988059,0,0,0,0,0,0,0,3.09776818732293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,12787.2929747258,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.891497148,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168409.88971028,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,1.1241694113316e-09,0,0,0,0,0,1.84069408302594,0,0,0,0,0,0,0,1.96812226403387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55209337145618e-11,0,0,0,0,0,1.20960277167457,0,0,0,0,0,0,0,1.08660673248911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50987547806052e-08,0,0,0,0,0,0.486089836341243,0,0,0,0,0,0,0,0.422644863731385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80189226842783e-07,0,0,0,0,0,3.50765513328756,0,0,0,0,0,0,0,3.06837582663218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04002547062234e-10,0,0,0,0,0,3.60226452030337,0,0,0,0,0,0,0,3.18551932025268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,12787.2929747255,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.824307143,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168409.78507992,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,1.3796656406715e-09,0,0,0,0,0,1.82538286998817,0,0,0,0,0,0,0,1.98381163560637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09712146075333e-10,0,0,0,0,0,1.02677272366523,0,0,0,0,0,0,0,0.935631687367143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20845495955639e-08,0,0,0,0,0,0.383004363528777,0,0,0,0,0,0,0,0.333014218627906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76021207341034e-07,0,0,0,0,0,3.87607187140098,0,0,0,0,0,0,0,3.39792250302888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60219771423121e-10,0,0,0,0,0,3.68476573759498,0,0,0,0,0,0,0,3.27446030642393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75,12787.2929747252,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.768191812,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168409.69663477,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,1.60338783618326e-09,0,0,0,0,0,1.79991764013614,0,0,0,0,0,0,0,1.9829864063909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46340253025539e-10,0,0,0,0,0,0.881885278418263,0,0,0,0,0,0,0,0.816955339370838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78707552313529e-08,0,0,0,0,0,0.301780333792923,0,0,0,0,0,0,0,0.262391637341668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78620793185137e-07,0,0,0,0,0,4.1837639078765,0,0,0,0,0,0,0,3.67649181094598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27256711779885e-10,0,0,0,0,0,3.76634629908768,0,0,0,0,0,0,0,3.36373068505848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12787.2929747249,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.720846202,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168409.62094325,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,1.79184277344527e-09,0,0,0,0,0,1.76699881902821,0,0,0,0,0,0,0,1.9697283359705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83519421466114e-10,0,0,0,0,0,0.766542647662554,0,0,0,0,0,0,0,0.723150409636641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31017484791374e-08,0,0,0,0,0,0.237781547767671,0,0,0,0,0,0,0,0.206746042275927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8656914648938e-07,0,0,0,0,0,4.44336975587834,0,0,0,0,0,0,0,3.91489191914982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03594525548743e-10,0,0,0,0,0,3.84661073030856,0,0,0,0,0,0,0,3.45268026846238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25,12787.2929747247,93001.166471304,3773.848008832,6261.239689848,217683.807825375,111136.438145898,715469.680467307,69213.25630492,3882.60477206,24934.90322421,276303.57379656,106087.405764312,6.512504394,495362.6325195,2168409.55533961,174730.519018728,29082.12875876,10995.7385193,216759.830332251,133803.777571898,307491.190648047,30546.725269855,16320.9826962,61220.776346388,72705.48134584,66504.562982088,45379.0024168,99443.208554512,12581.865976911,531903.479999466,35083.58761959,20363.873384744,1.94469227904499e-09,0,0,0,0,0,1.72871723394332,0,0,0,0,0,0,0,1.947190835083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19693294235863e-10,0,0,0,0,0,0.67422373351654,0,0,0,0,0,0,0,0.648509268953896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82025321177249e-08,0,0,0,0,0,0.187355032856937,0,0,0,0,0,0,0,0.162901250779538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98825240331457e-07,0,0,0,0,0,4.66477566466738,0,0,0,0,0,0,0,4.12151899464934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87630842688106e-10,0,0,0,0,0,3.92527121004086,0,0,0,0,0,0,0,3.54082141178277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
