NombreINEGI,NombreSSA,Estado,beta,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32
Aguascalientes,AGUASCALIENTES,1,0.05,0,1.82233015857639E-07,8.34483199472778E-08,1.08902231025556E-08,1.16137160500729E-08,1.58900938332017E-07,9.6445819500034E-08,1.29344231335122E-07,1.64963538716798E-07,1.3398018895945E-07,1.64591417090561E-08,1.68858198364111E-08,5.02270373052909E-08,3.01803038423392E-07,5.51172636164102E-08,6.59014251663292E-08,5.33371260446401E-08,1.22895961990645E-07,8.63811628311147E-08,1.43751160678317E-08,3.46083535114242E-08,1.57031962870307E-07,7.91529122896323E-08,2.14593955217901E-07,3.67615653171142E-08,9.15201684739869E-08,1.21155601122911E-08,7.89964644280778E-08,3.12904311001955E-08,2.78202905254444E-08,2.7413105651525E-08,1.21552641488336E-06
Baja California,BAJA CALIFORNIA,2,0.05,1.22516065629448E-07,0,2.45973839143056E-06,1.1868962556668E-08,1.15118658515003E-07,1.06184648179191E-08,7.31925845568697E-07,6.89759825628716E-07,3.85964609387249E-07,1.93142989443006E-07,4.0420431233409E-07,2.74730213353591E-07,7.02773410257212E-08,3.07702197023905E-07,5.01237674011409E-07,1.04126300208167E-06,4.69081770414995E-07,4.42475110514063E-07,2.0140787621125E-07,2.2078093754788E-07,5.31782913562982E-07,2.89583825449874E-07,6.72879351106979E-08,9.60002019995498E-08,1.99308046894225E-06,2.62109128883862E-06,3.02578200905711E-08,3.13930226775732E-07,3.02092905428648E-08,4.94339630485193E-07,9.41492114362526E-08,4.62871483938205E-07
Baja California Sur,BAJA CALIFORNIA SUR,3,0.05,1.01635774294761E-07,2.82927996204394E-06,0,4.73321943967709E-09,5.59197259641891E-09,7.62011006337648E-08,8.91381928504802E-07,8.09690572844371E-08,1.54514391554405E-08,7.42272496975569E-08,8.34002433394831E-08,5.68873164653933E-08,4.30298012619242E-09,2.43434614555707E-07,1.99079973644325E-07,2.19251012002089E-07,2.00947115951536E-08,6.31255096891739E-08,2.92135219346434E-08,1.66632170207356E-07,8.9770985889461E-08,3.38712916604527E-08,3.57112348794824E-08,1.62448299041327E-08,4.95636550048274E-09,2.35539916872709E-09,1.89794418148727E-08,1.256151622063E-08,2.44006764590497E-08,1.5184064312485E-07,3.6001115417416E-08,1.77224497451403E-08
Campeche,CAMPECHE,4,0.05,2.25064610786149E-08,4.51786316673167E-08,1.18330485991927E-08,0,2.17623316219196E-07,4.83314227468513E-07,3.57280503891866E-07,2.31771587331607E-08,1.31920467471961E-08,1.33160052390771E-08,1.2903114576316E-08,5.94593617437498E-09,1.13289661711509E-08,9.68221714823085E-08,4.33886213225186E-07,4.27991259948725E-08,1.53126236374729E-08,5.49662085181444E-09,1.27545611763655E-07,1.87746846833335E-07,1.07978949924262E-07,2.0586476577584E-08,1.66063345696049E-06,3.68973876147048E-08,1.88431933498167E-08,8.36121355628176E-08,2.81362550438774E-07,2.84373315769666E-07,3.12495254979902E-08,1.75119711423288E-06,1.19376109859386E-06,8.13086194358091E-08
Chiapas,CHIAPAS,5,0.05,2.56522739127985E-08,1.5208848320991E-06,5.08304025899202E-08,7.2994944814592E-07,0,1.24757704407769E-06,8.24972490560038E-07,1.85216336330634E-07,1.03958286515602E-07,1.54999678243796E-08,2.74608368053371E-08,1.18954144797085E-07,1.8854843920239E-07,1.46551992232975E-07,1.17593208373717E-06,1.52344980066695E-07,9.92445431577607E-08,2.09490238676326E-07,8.36414615841053E-07,1.26324005206131E-06,6.85445643598536E-07,1.62448299041327E-07,2.81851984794118E-06,6.14215629383449E-08,3.53940941953031E-07,1.27695904156957E-07,3.02568388092217E-06,1.33932261204848E-06,2.20635407343878E-07,1.30337059756108E-06,2.32906400673364E-06,1.77873644008408E-07
Chihuahua,CHIHUAHUA,6,0.05,1.39968060573308E-07,1.41872742951842E-07,9.42082771524066E-08,9.28040492664091E-07,1.06385353293005E-07,0,4.44308134445566E-07,1.72150250187297E-06,1.40392378723438E-08,2.88143196450304E-07,1.5971079138842E-07,1.0667425208928E-07,4.31578307835691E-07,2.73235883637997E-07,3.33596443530659E-07,6.02592508198916E-08,1.27202747215903E-07,1.89677405669668E-07,6.36507494290386E-09,7.85647167348613E-08,2.05920379066471E-07,1.8861724265726E-07,6.1783932041226E-08,3.40604036893932E-07,2.9438645375955E-08,1.49868352325645E-06,7.45180992644383E-08,6.3156242475124E-07,3.15921930239458E-08,1.19074333463231E-06,1.51737108562275E-07,2.84344608346841E-07
Ciudad de Mexico,CIUDAD DE MÃ‰XICO,7,0.05,5.65166219154923E-07,2.65166654222683E-06,2.58828756945713E-06,6.55014257135087E-07,7.94181579199559E-07,1.07770227226761E-06,0,3.32640670744147E-07,8.38298764584578E-08,2.30724067144171E-08,7.27491221095492E-06,6.7713944127803E-06,3.48186548185115E-06,2.83705415699587E-06,4.56571721592215E-05,6.31830788596946E-06,1.21881005734761E-05,3.51897714700542E-07,1.8252642345166E-06,3.88548875256312E-06,8.1267872989582E-06,4.24533522480342E-06,6.41146062821875E-06,5.58871875043E-07,8.84750453829989E-07,1.14661720481087E-06,2.04486335570923E-06,1.46595481044041E-07,9.63507140314338E-06,2.08068602597427E-05,7.38428143579363E-07,4.48641585460821E-07
Coahuila de Zaragoza,COAHUILA,8,0.05,1.62064588667776E-07,1.14220368327888E-06,1.259922102139E-07,1.31001331970039E-08,4.3094019374174E-08,4.12912969474892E-06,1.26028534195087E-07,0,2.30724067144171E-08,4.01659134538713E-06,8.86812645913712E-07,2.93591565513607E-08,5.26566751615139E-08,1.58485901227316E-07,7.03900916534366E-07,2.79448391559129E-07,8.18366778373353E-08,4.55843409932217E-08,3.21212911301576E-06,7.04905315624212E-08,1.42229872880828E-07,3.32396710703717E-07,2.21945808070027E-08,3.96435681729746E-07,2.33570171350363E-07,3.28124451947305E-07,3.31332756104798E-08,6.39984422980276E-06,8.05876509589114E-08,1.16009537247432E-07,2.43422714040536E-08,1.26039292454116E-07
Colima,COLIMA,9,0.05,2.38280667035375E-07,1.00503296216736E-06,2.34010926339642E-08,9.32237970135194E-09,3.5042119050203E-08,1.88271860484611E-08,3.23114689475904E-08,3.09474197846074E-08,0,6.51983272532527E-08,7.81605989967337E-08,7.34380929552271E-08,1.79149124059137E-08,2.44530995456556E-06,3.58601303848761E-07,5.73993365386866E-07,3.88622261923779E-08,1.26755433336472E-07,8.15046771190495E-08,4.5839691514458E-08,1.05156366812133E-07,1.96514517562003E-08,5.72361546570303E-08,5.408571720806E-08,2.05206357879271E-07,7.22382462437786E-08,5.77719138096538E-08,4.37060953849231E-07,8.29551146433782E-09,9.38191710364566E-08,4.77516761042514E-09,4.1065146451049E-08
Durango,DURANGO,10,0.05,2.38913182480536E-07,5.65657033429603E-07,1.18728420724765E-07,7.61582054024412E-08,1.01439580002484E-08,1.08079125369609E-06,1.32908115324966E-07,3.37722528668642E-06,6.17364691690092E-08,0,9.65632796730433E-08,1.77113338558465E-08,8.19446269126709E-08,6.74730313298207E-07,2.03000425857612E-07,7.96150471724931E-08,3.45488635989301E-08,1.64110768793762E-07,4.41546751860609E-07,7.02752305037179E-08,1.83413549724537E-08,1.22907111052991E-07,7.6120639033566E-08,2.12920882611574E-07,1.09705816628885E-06,1.32233491608763E-06,8.71217848204447E-08,2.01899986716653E-07,8.95930822510306E-09,2.75200449127133E-08,1.01015868275308E-08,2.06445598160203E-07
