Nombre.INEGI,Nombre.SSA,Estado,Poblacion,NumCasos,s,e,is,ia,r,y
Aguascalientes,AGUASCALIENTES,1,1195787,0,0.010693621,0,0,0,0,0
Baja California,BAJA CALIFORNIA,2,3224844,0,0.028838966,0,0,0,0,0
Baja California Sur,BAJA CALIFORNIA SUR,3,649616,0,0.005809352,0,0,0,0,0
Campeche,CAMPECHE,4,836748,0,0.007482826,0,0,0,0,0
Chiapas,CHIAPAS,5,4933755,0,0.044121325,0,0,0,0,0
Chihuahua,CHIHUAHUA,6,3525273,0,0.031525626,0,0,0,0,0
Ciudad de Mexico,CIUDAD DE MÃ‰XICO,7,8944599,20,0.079989112,1.79E-07,3.58E-07,1.79E-07,0,3.58E-07
Coahuila de Zaragoza,COAHUILA,8,2782013,0,0.02487884,0,0,0,0,0
Colima,COLIMA,9,658910,0,0.005892466,0,0,0,0,0
Durango,DURANGO,10,1669815,0,0.014932734,0,0,0,0,0
Guanajuato,GUANAJUATO,11,5558502,0,0.04970828,0,0,0,0,0
Guerrero,GUERRERO,12,3444264,0,0.030801183,0,0,0,0,0
Hidalgo,HIDALGO,13,2665018,0,0.000241329,0,0,0,0,0
Jalisco,JALISCO,14,7442625,0,0.066557516,0,0,0,0,0
Mexico,Mexico,15,15571679,10,0.139253504,8.94E-08,1.79E-07,8.94E-08,0,1.79E-07
Michoacan de Ocampo,MICHOACAN,16,4420271,0,0.039529368,0,0,0,0,0
Morelos,MORELOS,17,1803340,0,0.016126814,0,0,0,0,0
Nayarit,NAYARIT,18,1108860,0,0.009916255,0,0,0,0,0
Nuevo Leon,NUEVO LEON,19,4923273,0,0.044027587,0,0,0,0,0
Oaxaca,OAXACA,20,3868109,0,0.034591522,0,0,0,0,0
Puebla,PUEBLA,21,5863823,0,0.052438689,0,0,0,0,0
Queretaro,QUERETARO,22,1848191,0,0.016527905,0,0,0,0,0
Quintana Roo,QUINTANA ROO,23,1350945,0,0.01208116,0,0,0,0,0
San Luis Potosi,SAN LUIS POTOSÃ,24,2616459,0,0.023398332,0,0,0,0,0
Sinaloa,SINALOA,25,2851334,0,0.02549876,0,0,0,0,0
Sonora,SONORA,26,2727032,0,0.024387159,0,0,0,0,0
Tabasco,TABASCO,27,2252641,0,0.0201448,0,0,0,0,0
Tamaulipas,TAMAULIPAS,28,3334664,0,0.029821058,0,0,0,0,0
Tlaxcala,TLAXCALA,29,1186143,0,0.010607377,0,0,0,0,0
Veracruz de Ignacio de la Llave,VERACRUZ,30,7712247,0,0.068968678,0,0,0,0,0
Yucatan,YUCATAN,31,1980690,0,0.017712811,0,0,0,0,0
Zacatecas,ZACATECAS,32,1509019,0,0.013494776,0,0,0,0,0
