Foo,Poblacion,s,e,is,ia,r
Aguascalientes,1195787,0.010693621,0,0,0,0
Baja California,3224844,0.028838966,0,0,0,0
Baja California Sur,649616,0.005809352,0,0,0,0
Campeche,836748,0.007482826,0,0,0,0
Chiapas,4933755,0.044121325,0,0,0,0
Chihuahua,3525273,0.031525626,0,0,0,0
Ciudad de Mexico,8944599,0.079989112,1.79E-07,3.58E-07,1.79E-07,0
Coahuila de Zaragoza,2782013,0.02487884,0,0,0,0
Colima,658910,0.005892466,0,0,0,0
Durango,1669815,0.014932734,0,0,0,0
Guanajuato,5558502,0.04970828,0,0,0,0
Guerrero,3444264,0.030801183,0,0,0,0
Hidalgo,26986,0.000241329,0,0,0,0
Jalisco,7442625,0.066557516,0,0,0,0
Mexico,15571679,0.139253504,8.94E-08,1.79E-07,8.94E-08,0
Michoacan de Ocampo,4420271,0.039529368,0,0,0,0
Morelos,1803340,0.016126814,0,0,0,0
Nayarit,1108860,0.009916255,0,0,0,0
Nuevo Leon,4923273,0.044027587,0,0,0,0
Oaxaca,3868109,0.034591522,0,0,0,0
Puebla,5863823,0.052438689,0,0,0,0
Queretaro,1848191,0.016527905,0,0,0,0
Quintana Roo,1350945,0.01208116,0,0,0,0
San Luis Potosi,2616459,0.023398332,0,0,0,0
Sinaloa,2851334,0.02549876,0,0,0,0
Sonora,2727032,0.024387159,0,0,0,0
Tabasco,2252641,0.0201448,0,0,0,0
Tamaulipas,3334664,0.029821058,0,0,0,0
Tlaxcala,1186143,0.010607377,0,0,0,0
Veracruz de Ignacio de la Llave,7712247,0.068968678,0,0,0,0
Yucatan,1980690,0.017712811,0,0,0,0
Zacatecas,1509019,0.013494776,0,0,0,0
