CLAVE_CLIENTE,UNIDAD_NEGOCIO,EMISORA_FONDO,CATEGORIA_OP,DESC_CE_FINANCIERO,SALDO_CONTRATO,SALDO_CLIENTE,DESC_TIPO_PERS,STATUS_BE
93824621,CASA DE BOLSA,UNIFIN    ,CAPITALES,CD MX SANTA FE GLEZ CAMARENA,1506470.79,1506470.79,PERSONA FISICA,#N/A
96114541,CASA DE BOLSA,WALMEX    ,CAPITALES,GTO SMA CENTRO,476793.14,486793.14,PERSONA FISICA,#N/A
94099454,CASA DE BOLSA,CHK       ,CAPITALES,QROO CANCUN PLAZA HOLLYWOOD,8420599.63,8935603.45,PERSONA FISICA,#N/A
95892246,CASA DE BOLSA,GOOGL     ,CAPITALES,CD MX MONTES URALES,1214597581,1245958369,PERSONA MORAL,#N/A
93638005,CASA DE BOLSA,NIO       ,CAPITALES,SON HERMOSILLO PLAZA ANDENES,786107.04,789944.42,PERSONA FISICA,#N/A
93739878,CASA DE BOLSA,MSFT      ,CAPITALES,EDO MEX VALLE DORADO,1410508.51,3534349.18,PERSONA FISICA,#N/A
93631745,CASA DE BOLSA,T         ,CAPITALES,SON HERMOSILLO PLAZA ANDENES,3870675.33,3872154.02,PERSONA FISICA,#N/A
90742560,CASA DE BOLSA,HCITY     ,CAPITALES,QRO JURICA,6214253.38,6762790.41,PERSONA FISICA,#N/A
95267993,CASA DE BOLSA,AMZN      ,CAPITALES,BC TIJUANA PASEO,876171.52,877573.69,PERSONA FISICA,#N/A
93591154,CASA DE BOLSA,GMEXICO   ,CAPITALES,CD MX XOLA,602450.72,602512.29,PERSONA FISICA,#N/A
93600146,CASA DE BOLSA,SHV       ,CAPITALES,CD MX SANTA FE GLEZ CAMARENA,2462783.6,2462783.6,PERSONA FISICA,#N/A
95788873,CASA DE BOLSA,NAFTRAC   ,CAPITALES,CD MX MONTES URALES,24494408.18,24544412.03,PERSONA FISICA,#N/A
93537157,CASA DE BOLSA,MU        ,CAPITALES,CD MX SANTA FE GLEZ CAMARENA,783166.63,783166.92,PERSONA FISICA,#N/A
93663722,CASA DE BOLSA,AMZN      ,CAPITALES,CD MX SANTA FE GLEZ CAMARENA,378504.07,378504.07,PERSONA FISICA,#N/A
93704005,CASA DE BOLSA,ALSEA     ,CAPITALES,CD MX SANTA FE GLEZ CAMARENA,878650.71,878650.71,PERSONA FISICA,#N/A
93713923,CASA DE BOLSA,EDZ       ,CAPITALES,VER BOCA DEL RIO LAS AMERICAS,2598420.66,2598420.66,PERSONA FISICA,#N/A
94304862,CASA DE BOLSA,DIS       ,CAPITALES,JAL ZAPOPAN MARIANO OTERO,589402.3,589542.53,PERSONA FISICA,#N/A
90034364,CASA DE BOLSA,WALMEX    ,CAPITALES,MOR CUERNAVACA DOMINGO DIEZ,426831.13,426831.13,PERSONA FISICA,#N/A
95695359,CASA DE BOLSA,SPXS      ,CAPITALES,CD MX TERRAZA PEDREGAL,333319.65,333319.65,PERSONA FISICA,ENROLADO
90127382,CASA DE BOLSA,CEMEX     ,CAPITALES,EDO MEX SATELITE,79987.17,79993.75,PERSONA FISICA,#N/A
