"Obs","Cluster"
"1",9
"2",17
"3",17
"4",9
"5",9
"6",9
"7",17
"8",17
"9",17
"10",6
"11",6
"12",17
"13",17
"14",9
"15",15
"16",9
"17",17
"18",17
"19",9
"20",6
"21",6
"22",22
"23",17
"24",6
"25",9
"26",7
"27",7
"28",22
"29",15
"30",15
"31",9
"32",22
"33",3
"34",6
"35",22
"36",9
"37",7
"38",18
"39",18
"40",6
"41",18
"42",20
"43",22
"44",10
"45",2
"46",6
"47",15
"48",9
"49",15
"50",18
"51",20
"52",9
"53",6
"54",7
"55",17
"56",21
"57",23
"58",7
"59",22
"60",15
"61",22
"62",18
"63",10
"64",3
"65",13
"66",24
"67",20
"68",6
"69",7
"70",7
"71",10
"72",9
"73",20
"74",18
"75",21
"76",7
"77",19
"78",20
"79",15
"80",6
"81",24
"82",13
"83",23
"84",13
"85",22
"86",10
"87",22
"88",2
"89",17
"90",3
"91",10
"92",23
"93",13
"94",20
"95",25
"96",18
"97",6
"98",2
"99",9
"100",18
"101",13
"102",3
"103",17
"104",6
"105",24
"106",9
"107",21
"108",25
"109",15
"110",25
"111",12
"112",5
"113",7
"114",10
"115",2
"116",17
"117",23
"118",3
"119",19
"120",22
"121",11
"122",24
"123",16
"124",21
"125",11
"126",18
"127",20
"128",9
"129",5
"130",22
"131",15
"132",24
"133",12
"134",13
"135",9
"136",16
"137",12
"138",25
"139",6
"140",7
"141",11
"142",17
"143",19
"144",10
"145",24
"146",8
"147",17
"148",2
"149",23
"150",2
"151",3
"152",24
"153",5
"154",18
"155",21
"156",7
"157",18
"158",23
"159",24
"160",22
"161",8
"162",11
"163",10
"164",9
"165",20
"166",6
"167",23
"168",7
"169",10
"170",16
"171",2
"172",15
"173",23
"174",13
"175",20
"176",13
"177",22
"178",5
"179",19
"180",21
"181",22
"182",23
"183",3
"184",18
"185",6
"186",24
"187",23
"188",10
"189",23
"190",16
"191",25
"192",24
"193",4
"194",24
"195",18
"196",17
"197",25
"198",22
"199",12
"200",21
"201",8
"202",12
"203",20
"204",25
"205",9
"206",13
"207",8
"208",4
"209",10
"210",7
"211",1
"212",15
"213",2
"214",23
"215",10
"216",19
"217",6
"218",16
"219",13
"220",21
"221",11
"222",24
"223",4
"224",18
"225",18
"226",22
"227",16
"228",7
"229",1
"230",20
"231",3
"232",11
"233",5
"234",12
"235",2
"236",16
"237",19
"238",11
"239",1
"240",12
"241",4
"242",3
"243",10
"244",5
"245",9
"246",15
"247",23
"248",21
"249",5
"250",24
"251",23
"252",20
"253",22
"254",6
"255",16
"256",8
"257",4
"258",21
"259",7
"260",6
"261",7
"262",18
"263",15
"264",17
"265",4
"266",8
"267",14
"268",24
"269",2
"270",25
"271",14
"272",10
"273",20
"274",11
"275",9
"276",13
"277",24
"278",19
"279",16
"280",23
"281",17
"282",7
"283",2
"284",18
"285",23
"286",8
"287",10
"288",14
"289",15
"290",22
"291",1
"292",6
"293",14
"294",9
"295",13
"296",16
"297",2
"298",4
"299",7
"300",19
"301",22
"302",23
"303",25
"304",20
"305",13
"306",22
"307",18
"308",24
"309",10
"310",11
"311",21
"312",19
"313",15
"314",13
"315",22
"316",3
"317",5
"318",23
"319",6
"320",21
"321",17
"322",8
"323",12
"324",20
"325",1
"326",23
"327",4
"328",5
"329",3
"330",16
"331",1
"332",14
"333",11
"334",12
"335",24
"336",10
"337",25
"338",9
"339",2
"340",17
"341",15
"342",3
"343",7
"344",5
"345",22
"346",14
"347",18
"348",3
"349",21
"350",24
"351",23
"352",8
"353",19
"354",4
"355",8
"356",16
"357",23
"358",20
"359",25
"360",13
"361",6
"362",18
"363",14
"364",11
"365",10
"366",2
"367",11
"368",17
"369",24
"370",22
"371",1
"372",4
"373",13
"374",18
"375",9
"376",25
"377",24
"378",4
"379",5
"380",12
"381",16
"382",13
"383",25
"384",21
"385",15
"386",2
"387",7
"388",16
"389",22
"390",20
"391",19
"392",10
"393",7
"394",5
"395",14
"396",20
"397",6
"398",21
"399",18
"400",14
"401",6
"402",19
"403",15
"404",24
"405",1
"406",16
"407",8
"408",14
"409",12
"410",7
"411",5
"412",13
"413",11
"414",1
"415",2
"416",21
"417",24
"418",22
"419",9
"420",10
"421",4
"422",4
"423",17
"424",6
"425",23
"426",9
"427",3
"428",4
"429",25
"430",23
"431",16
"432",24
"433",7
"434",16
"435",20
"436",6
"437",12
"438",19
"439",25
"440",18
"441",3
"442",5
"443",9
"444",14
"445",15
"446",10
"447",17
"448",8
"449",2
"450",1
"451",5
"452",22
"453",12
"454",15
"455",24
"456",21
"457",1
"458",20
"459",23
"460",2
"461",10
"462",16
"463",18
"464",17
"465",16
"466",23
"467",22
"468",25
"469",11
"470",19
"471",22
"472",13
"473",4
"474",14
"475",7
"476",10
"477",6
"478",3
"479",13
"480",8
"481",20
"482",22
"483",13
"484",2
"485",25
"486",23
"487",14
"488",7
"489",24
"490",4
"491",12
"492",15
"493",21
"494",16
"495",7
"496",24
"497",8
"498",4
"499",18
"500",5
"501",2
"502",23
"503",19
"504",17
"505",1
"506",18
"507",12
"508",6
"509",10
"510",11
"511",3
"512",19
"513",10
"514",22
"515",20
"516",9
"517",8
"518",20
"519",25
"520",1
"521",13
"522",21
"523",4
"524",5
"525",4
"526",23
"527",10
"528",2
"529",22
"530",15
"531",16
"532",24
"533",12
"534",21
"535",14
"536",18
"537",14
"538",23
"539",11
"540",18
"541",7
"542",24
"543",16
"544",25
"545",13
"546",22
"547",24
"548",10
"549",15
"550",5
"551",4
"552",16
"553",8
"554",6
"555",17
"556",9
"557",8
"558",24
"559",11
"560",2
"561",17
"562",12
"563",1
"564",1
"565",20
"566",10
"567",4
"568",7
"569",9
"570",23
"571",8
"572",11
"573",15
"574",21
"575",22
"576",6
"577",14
"578",5
"579",3
"580",3
"581",8
"582",1
"583",23
"584",5
"585",12
"586",13
"587",19
"588",15
"589",19
"590",6
"591",20
"592",21
"593",2
"594",9
"595",1
"596",24
"597",10
"598",25
"599",23
"600",19
"601",4
"602",2
"603",2
"604",22
"605",22
"606",3
"607",15
"608",24
"609",7
"610",23
"611",22
"612",20
"613",10
"614",11
"615",18
"616",4
"617",14
"618",14
"619",16
"620",22
"621",13
"622",10
"623",6
"624",16
"625",25
"626",8
"627",24
"628",11
"629",2
"630",11
"631",21
"632",1
"633",9
"634",7
"635",14
"636",14
"637",19
"638",18
"639",25
"640",20
"641",17
"642",4
"643",23
"644",7
"645",24
"646",12
"647",5
"648",9
"649",16
"650",8
"651",13
"652",4
"653",3
"654",15
"655",20
"656",10
"657",7
"658",20
"659",19
"660",2
"661",21
"662",7
"663",22
"664",25
"665",18
"666",23
"667",8
"668",4
"669",24
"670",6
"671",14
"672",21
"673",23
"674",5
"675",8
"676",13
"677",1
"678",22
"679",11
"680",17
"681",6
"682",5
"683",12
"684",17
"685",9
"686",4
"687",16
"688",16
"689",16
"690",24
"691",24
"692",16
"693",14
"694",15
"695",10
"696",2
"697",24
"698",22
"699",24
"700",11
"701",19
"702",15
"703",18
"704",4
"705",6
"706",13
"707",18
"708",14
"709",10
"710",16
"711",21
"712",19
"713",3
"714",16
"715",2
"716",20
"717",24
"718",7
"719",15
"720",10
"721",12
"722",12
"723",25
"724",23
"725",1
"726",1
"727",4
"728",14
"729",20
"730",22
"731",9
"732",8
"733",14
"734",11
"735",7
"736",19
"737",11
"738",11
"739",1
"740",16
"741",10
"742",21
"743",2
"744",8
"745",6
"746",3
"747",13
"748",5
"749",7
"750",17
"751",1
"752",25
"753",9
"754",24
"755",15
"756",20
"757",17
"758",10
"759",23
"760",18
"761",10
"762",23
"763",6
"764",4
"765",5
"766",21
"767",2
"768",15
"769",21
"770",24
"771",19
"772",8
"773",9
"774",25
"775",13
"776",20
"777",12
"778",7
"779",22
"780",1
"781",22
"782",23
"783",17
"784",16
"785",19
"786",2
"787",16
"788",15
"789",22
"790",4
"791",3
"792",10
"793",8
"794",14
"795",13
"796",18
"797",25
"798",18
"799",23
"800",19
"801",5
"802",21
"803",6
"804",24
"805",3
"806",15
"807",14
"808",1
"809",13
"810",7
"811",9
"812",7
"813",20
"814",4
"815",2
"816",23
"817",20
"818",22
"819",24
"820",18
"821",23
"822",7
"823",19
"824",24
"825",10
"826",13
"827",10
"828",22
"829",6
"830",8
"831",4
"832",12
"833",14
"834",15
"835",6
"836",19
"837",16
"838",12
"839",18
"840",23
"841",7
"842",4
"843",15
"844",24
"845",8
"846",1
"847",2
"848",7
"849",22
"850",6
"851",17
"852",24
"853",22
"854",25
"855",14
"856",5
"857",6
"858",1
"859",20
"860",9
"861",11
"862",21
"863",16
"864",4
"865",13
"866",8
"867",17
"868",13
"869",14
"870",18
"871",11
"872",10
"873",4
"874",19
"875",5
"876",25
"877",21
"878",12
"879",1
"880",25
"881",15
"882",20
"883",23
"884",3
"885",9
"886",16
"887",24
"888",2
"889",14
"890",5
"891",10
"892",15
"893",8
"894",12
"895",10
"896",20
"897",2
"898",11
"899",21
"900",7
"901",4
"902",23
"903",24
"904",19
"905",13
"906",22
"907",16
"908",3
"909",3
"910",1
"911",2
"912",8
"913",23
"914",1
"915",4
"916",20
"917",18
"918",17
"919",19
"920",10
"921",18
"922",13
"923",14
"924",24
"925",11
"926",23
"927",9
"928",12
"929",21
"930",25
"931",20
"932",16
"933",10
"934",24
"935",6
"936",1
"937",14
"938",15
"939",22
"940",9
"941",2
"942",5
"943",6
"944",4
