CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO
90000027,1,BANCO,ACTIREN,Ciudad de Mexico,408584.6097,VENTA,MASCULINO,54,ENROLADO
90000043,1,BANCO,CUENTA_EJE,Ciudad de Mexico,3732070.362,RETIRO,MASCULINO,56,ENROLADO
90000076,1,BANCO,ESCALA,Ciudad de Mexico,9846649.549,COMPRA,MASCULINO,57,NO ENROLADO
90000134,1,BANCO,ACTIREN,Ciudad de Mexico,3117104.813,VENTA,MASCULINO,47,ENROLADO
90000159,1,BANCO,ACTIGOB,Ciudad de Mexico,9233.83518,VENTA,FEMENINO,54,ENROLADO
90000175,1,BANCO,ACTIREN,Ciudad de Mexico,211649.25,VENTA,MASCULINO,50,ENROLADO
90000209,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,2228831.123,"DEP, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,64,ENROLADO
90000266,1,BANCO,ACTIREN,Ciudad de Mexico,949728.7758,VENTA,MASCULINO,57,ENROLADO
90000340,1,BANCO,CUENTA_EJE,Ciudad de Mexico,0.48,RETIRO,MASCULINO,29,ENROLADO
90000415,1,BANCO,CUENTA_EJE,Ciudad de Mexico,0,RETIRO,MASCULINO,60,ENROLADO
90000456,1,BANCO,ALTERNA,Ciudad de Mexico,103351.4888,VENTA,FEMENINO,49,ENROLADO
90000522,1,BANCO,ACTIMED,Ciudad de Mexico,72861.41261,COMPRA,MASCULINO,37,ENROLADO
90000530,1,BANCO,CUENTA_EJE,Ciudad de Mexico,939.38,DEPOSITO,FEMENINO,51,ENROLADO
90000563,1,BANCO,ACTIMED,Toluca,1660.984648,VENTA,FEMENINO,30,ENROLADO
90000621,1,BANCO,ACTIMED,Ciudad de Mexico,120.48,VENTA,MASCULINO,32,ENROLADO
90000720,1,BANCO,ACTIGOB,Ciudad de Mexico,148925.7788,VENTA,MASCULINO,60,ENROLADO
90000753,1,BANCO,CUENTA_EJE,Ciudad de Mexico,6578.53604,RETIRO,FEMENINO,25,ENROLADO
90001033,1,BANCO,CUENTA_EJE,Ciudad de Mexico,254073.5181,DEPOSITO,FEMENINO,70,NO ENROLADO
90001066,1,BANCO,ACTIGOB,Ciudad de Mexico,12750.05855,VENTA,MASCULINO,53,ENROLADO
90001082,1,BANCO,ACTICOB,Ciudad de Mexico,2537456.728,TRASPASO OUT,FEMENINO,60,ENROLADO
90001090,1,BANCO,ACTIGOB,Ciudad de Mexico,372002.3035,VENTA,FEMENINO,46,ENROLADO
90001108,1,BANCO,ACTICOB,Ciudad de Mexico,485781.24,VENTA,MASCULINO,45,ENROLADO
90001124,1,BANCO,ACTIMED,Ciudad de Mexico,5684608.26,COMPRA,MASCULINO,37,ENROLADO
90001231,1,BANCO,CUENTA_EJE,Ciudad de Mexico,836224.25,RETIRO,MASCULINO,58,ENROLADO
90001249,1,BANCO,ACTIMED,Ciudad de Mexico,879024.5668,COMPRA,FEMENINO,50,ENROLADO
90001264,1,BANCO,CUENTA_EJE,Ciudad de Mexico,375.01,DEPOSITO,FEMENINO,36,ENROLADO
90001355,1,BANCO,ACTIMED,Ciudad de Mexico,10.09,VENTA,FEMENINO,35,ENROLADO
90001389,1,BANCO,ACTIMED,Ciudad de Mexico,21926665.33,VENTA,MASCULINO,62,ENROLADO
90001413,1,BANCO,ACTIMED,Ciudad de Mexico,2617454.998,COMPRA,MASCULINO,64,ENROLADO
90001454,1,BANCO,ACTIGOB,Ciudad de Mexico,421175.4003,VENTA,FEMENINO,56,ENROLADO
90001553,1,BANCO,ACTIREN,Ciudad de Mexico,11459.07136,COMPRA,MASCULINO,62,ENROLADO
90001751,1,BANCO,CUENTA_EJE,Ciudad de Mexico,33671385.13,RETIRO,MASCULINO,85,ENROLADO
90001769,1,BANCO,ACTIMED,Ciudad de Mexico,4367637.703,VENTA,MASCULINO,50,ENROLADO
90001801,1,BANCO,ACTIGOB,Ciudad de Mexico,58781.48056,VENTA,MASCULINO,56,ENROLADO
90001827,1,BANCO,CUENTA_EJE,Ciudad de Mexico,89445.1965,RETIRO,FEMENINO,44,ENROLADO
90001868,1,BANCO,ACTIREN,Ciudad de Mexico,4046561.947,COMPRA,MASCULINO,42,ENROLADO
90001876,1,BANCO,CUENTA_EJE,Ciudad de Mexico,2055.48,DEPOSITO,FEMENINO,43,ENROLADO
90001918,1,BANCO,ACTIMED,Ciudad de Mexico,183428.8384,VENTA,MASCULINO,48,ENROLADO
