CLAVE_CLIENTE,UNIDAD_NEGOCIO,EMISORA_FONDO,CATEGORIA_OP,SALDO_CONTRATO,SALDO_CLIENTE,DESC_TIPO_PERS,ENTIDAD_FEDERATIVA,GENERO,EDAD,STATUS_BE,DESC_CE_FINANCIERO,LAT,LONG
93127165,BANCO,ACTI500,FONDO,288924.29,293780.01,PERSONA FISICA,JALISCO,FEMENINO,37,ENROLADO,JAL MARINA VALLARTA,20.6595,103.3494
90602889,BANCO,ACTIMED,FONDO,600108.16,600108.16,PERSONA FISICA,JALISCO,MASCULINO,55,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
90001264,BANCO,CUENTA_EJE,,250,375.01,PERSONA FISICA,CDMX,FEMENINO,36,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92945898,BANCO,ACTIMED,FONDO,35655.07,35655.07,PERSONA FISICA,JALISCO,MASCULINO,90,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95245916,BANCO,ALTERNA,FONDO,577606.09,577606.09,PERSONA FISICA,CDMX,FEMENINO,62,#N/A,CD MX MONTES URALES,19.4285,99.1277
93939825,BANCO,ALTERNA,FONDO,1482122.88,1482122.88,PERSONA FISICA,CDMX,FEMENINO,63,#N/A,PERSONAL ACTINVER,19.4285,99.1277
94001161,BANCO,IMPULSA,FONDO,89260.95,89260.95,PERSONA FISICA,EDOMEX,MASCULINO,67,#N/A,EDO MEX TECAMACHALCO,19.4969,99.7233
96151501,BANCO,CUENTA_EJE,,10716.2,10716.2,PERSONA FISICA,CIUDAD DE MÉXICO,MASCULINO,54,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93577575,BANCO,CUENTA_EJE,,2122459.82,4922863.66,PERSONA FISICA,CDMX,MASCULINO,45,#N/A,CD MX SANTA FE BANCO PB,19.4285,99.1277
95261921,BANCO,ALTERNA,FONDO,788122.11,788122.11,PERSONA FISICA,CDMX,FEMENINO,31,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92887777,BANCO,ACTIMED,FONDO,346287.33,346287.33,PERSONA FISICA,JALISCO,FEMENINO,73,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95250056,BANCO,ACTIREN,FONDO,848250.64,3624571.2,PERSONA FISICA,CDMX,MASCULINO,53,#N/A,CD MX LINDAVISTA,19.4285,99.1277
93932432,BANCO,ACTIMED,FONDO,6092386.78,6092386.78,PERSONA FISICA,CDMX,MASCULINO,60,#N/A,CD MX XOLA,19.4285,99.1277
92024157,BANCO,ACTIREN,FONDO,100563.7,100563.7,PERSONA FISICA,PUEBLA,MASCULINO,58,#N/A,PUE CHOLULA CITY ANGELOPOLIS,19.0414,98.2063
91316687,BANCO,ACTICOB,FONDO,60234.43,60234.43,PERSONA FISICA,CDMX,FEMENINO,55,#N/A,CD MX MONTES URALES,19.4285,99.1277
92392877,BANCO,ALTERNA,FONDO,541172.3,541172.3,PERSONA FISICA,JALISCO,FEMENINO,79,#N/A,JAL ZAPOPAN ANDARES BANCO,20.6595,103.3494
94812633,BANCO,CUENTA_EJE,,6618.2,6618.2,PERSONA FISICA,CDMX,FEMENINO,67,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
92759612,BANCO,ALTERNA,FONDO,2135644.91,2135644.91,PERSONA FISICA,EDOMEX,FEMENINO,76,#N/A,EDO MEX SATELITE,19.4969,99.7233
93619286,BANCO,ACTIREN,FONDO,123839.36,316425.33,PERSONA FISICA,CDMX,MASCULINO,58,ENROLADO,CD MX TERRAZA PEDREGAL,19.4285,99.1277
93833648,BANCO,MAYA,FONDO,1666622.13,1666622.13,PERSONA FISICA,CDMX,MASCULINO,74,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
96006390,BANCO,ALTERNA,FONDO,400615.14,400615.14,PERSONA FISICA,JALISCO,MASCULINO,43,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
93881654,BANCO,IMPULSA,FONDO,90147.66,90147.66,PERSONA FISICA,JALISCO,FEMENINO,69,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
94877784,BANCO,ACTIMED,FONDO,10363.32,10363.32,PERSONA FISICA,CDMX,MASCULINO,55,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
93340529,BANCO,SURCETE,FONDO,1426557.14,1426557.14,PERSONA FISICA,CDMX,MASCULINO,67,#N/A,CD MX XOLA,19.4285,99.1277
93922599,BANCO,ACTIREN,FONDO,697343.7,697343.7,PERSONA FISICA,BAJA CALIFORNIA,FEMENINO,43,#N/A,BC TIJUANA PASEO,30.8406,115.2838
92997741,BANCO,ACTIMED,FONDO,1487587.11,1487587.11,PERSONA FISICA,QUERETARO,MASCULINO,40,#N/A,QRO QUERETARO BERNARDO QUINTANA,20.5888,100.3899
93965341,BANCO,ACTIMED,FONDO,766729.1,766729.1,PERSONA FISICA,QUERETARO,MASCULINO,56,#N/A,QRO QUERETARO BERNARDO QUINTANA,20.5888,100.3899
92805050,BANCO,IMPULSA,FONDO,446125.78,446125.78,PERSONA FISICA,CDMX,FEMENINO,52,ENROLADO,CD MX ALTAVISTA,19.4285,99.1277
93997302,BANCO,ACTIMED,FONDO,574861.26,574861.26,PERSONA FISICA,EDOMEX,FEMENINO,38,ENROLADO,EDO MEX METEPEC PLAZA IZAR,19.4969,99.7233
91592915,BANCO,ACTIMED,FONDO,2753224.93,2753224.93,PERSONA FISICA,JALISCO,MASCULINO,44,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
91155929,BANCO,ACTIREN,FONDO,730582.74,730582.74,PERSONA FISICA,CDMX,MASCULINO,61,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
95305801,BANCO,ACTIMED,FONDO,162705.71,162705.71,PERSONA FISICA,CDMX,FEMENINO,62,ENROLADO,CD MX XOLA,19.4285,99.1277
93627511,BANCO,ACTIMED,FONDO,7000,620836.5,PERSONA FISICA,JALISCO,FEMENINO,68,#N/A,JAL CHAPALA AJIJIC,20.6595,103.3494
93483089,BANCO,ACTIMED,FONDO,244911.27,244911.27,PERSONA MORAL,CDMX,SIN GENERO,PM,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
93625457,BANCO,IMPULSA,FONDO,3010300.36,3019068.67,PERSONA FISICA,JALISCO,MASCULINO,66,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
95882437,BANCO,ALTERNA,FONDO,497152.84,636845.65,PERSONA FISICA,CDMX,MASCULINO,26,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93689230,BANCO,ACTICOB,FONDO,2162627.23,2162627.23,PERSONA FISICA,JALISCO,FEMENINO,28,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95605218,BANCO,IMPULSA,FONDO,763,290.42,PERSONA FISICA,ESTADO DE MÉXICO,FEMENINO,27,#N/A,PERSONAL ACTINVER,19.4285,99.1277
95966453,BANCO,ACTIMED,FONDO,171734.16,171734.16,PERSONA FISICA,CDMX,FEMENINO,56,#N/A,CD MX TERRAZA PEDREGAL,19.4285,99.1277
93551109,BANCO,ACTIREN,FONDO,546997.03,546997.03,PERSONA FISICA,MICHOACÁN,MASCULINO,57,#N/A,MICH MOR AV LAZARO CARDENAS,19.5665,101.7068
95518536,BANCO,ACTIMED,FONDO,131030.38,131030.38,PERSONA FISICA,CDMX,FEMENINO,63,ENROLADO,CD MX ALTAVISTA,19.4285,99.1277
93628469,BANCO,CUENTA_EJE,,153961.02,153961.02,PERSONA FISICA,JALISCO,FEMENINO,55,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
96059027,BANCO,ACTIMED,FONDO,506781.51,506781.51,PERSONA FISICA,CDMX,MASCULINO,41,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93753242,BANCO,CUENTA_EJE,,538852.58,538852.58,PERSONA FISICA,JALISCO,FEMENINO,61,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
93961886,BANCO,SALUD,FONDO,202423.1,267864.49,PERSONA FISICA,JALISCO,MASCULINO,70,ENROLADO,JAL GDL ARCOS VALLARTA,20.6595,103.3494
90953365,BANCO,ACTVIDA,FONDO,1341402.05,1341402.05,PERSONA FISICA,CDMX,FEMENINO,52,#N/A,CD MX ALTAVISTA,19.4285,99.1277
90772609,BANCO,CUENTA_EJE,,669551.14,669551.14,PERSONA MORAL,SONORA,SIN GENERO,PM,#N/A,SON HERMOSILLO PLAZA ANDENES,29.2972,110.3309
92043918,BANCO,ACTIMED,FONDO,458980.97,458980.97,PERSONA FISICA,GUANAJUATO,MASCULINO,59,#N/A,GTO SMA PLAZA LUCIERNAGA,21.019,101.2574
92456581,BANCO,ACTIMED,FONDO,130178.48,130178.48,PERSONA FISICA,CDMX,MASCULINO,59,#N/A,CD MX LINDAVISTA,19.4285,99.1277
93020584,BANCO,ACTIMED,FONDO,7161.98,7161.98,PERSONA FISICA,CDMX,MASCULINO,51,#N/A,PERSONAL ACTINVER,19.4285,99.1277
94887353,BANCO,ACTVIDA,FONDO,1207801.59,1709504.61,PERSONA FISICA,CDMX,MASCULINO,49,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
93894830,BANCO,EVEREST,FONDO,170788.18,170788.18,PERSONA FISICA,JALISCO,FEMENINO,70,#N/A,JAL GDL FORUM TLAQUEPAQUE,20.6595,103.3494
93289940,BANCO,ACTIMED,FONDO,394050.09,394050.09,PERSONA FISICA,CDMX,MASCULINO,54,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93589232,BANCO,ACTIMED,FONDO,366516.88,366516.88,PERSONA FISICA,JALISCO,FEMENINO,38,ENROLADO,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
93932283,BANCO,CUENTA_EJE,,1018142.14,1018142.14,PERSONA FISICA,JALISCO,MASCULINO,56,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
93932283,BANCO,CUENTA_EJE,,-1,1018142.14,PERSONA FISICA,JALISCO,MASCULINO,56,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
92753458,BANCO,ALTERNA,FONDO,878603.31,878603.31,PERSONA FISICA,CDMX,MASCULINO,45,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
92479880,BANCO,ALTERNA,FONDO,414410.58,414410.58,PERSONA FISICA,JALISCO,FEMENINO,56,#N/A,JAL GDL FORUM TLAQUEPAQUE,20.6595,103.3494
94534609,BANCO,OPTIMO,FONDO,141297.46,141297.46,PERSONA FISICA,AGUASCALIENTES,MASCULINO,32,ENROLADO,AGS AGUASCALIENTES NTE 509,21.8853,102.2916
95641957,BANCO,ACTIMED,FONDO,149358.4,149358.4,PERSONA FISICA,CDMX,MASCULINO,47,#N/A,PERSONAL ACTINVER,19.4285,99.1277
94480290,BANCO,ACTICOB,FONDO,71549.59,71549.59,PERSONA FISICA,JALISCO,FEMENINO,63,#N/A,JAL GDL ARCOS VALLARTA,20.6595,103.3494
95248464,BANCO,ALTERNA,FONDO,112076.89,112076.89,PERSONA FISICA,CDMX,FEMENINO,61,#N/A,CD MX MONTES URALES,19.4285,99.1277
92024892,BANCO,ACTIMED,FONDO,328178.69,328178.69,PERSONA FISICA,JALISCO,FEMENINO,68,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
93047157,BANCO,ACTIREN,FONDO,14720.41,14720.41,PERSONA FISICA,CDMX,FEMENINO,51,#N/A,CD MX MONTES URALES (CORPORATIVO),19.4285,99.1277
92530047,BANCO,ACTIMED,FONDO,823108.43,823108.43,PERSONA FISICA,JALISCO,MASCULINO,45,#N/A,JAL GDL FORUM TLAQUEPAQUE,20.6595,103.3494
95847695,BANCO,CUENTA_EJE,,5074.59,5074.59,PERSONA MORAL,JALISCO,SIN GENERO,PM,#N/A,JAL MARINA VALLARTA,20.6595,103.3494
93471043,BANCO,CUENTA_EJE,,1876694.39,1876694.39,PERSONA MORAL,SINALOA,SIN GENERO,PM,#N/A,SIN CENTRO FINANCIERO,25.8227,108.2217
95922555,BANCO,ACTI500,FONDO,13901.51,13901.51,PERSONA FISICA,CDMX,MASCULINO,45,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
91853168,BANCO,IMPULSA,FONDO,69182.06,69182.06,PERSONA FISICA,CDMX,MASCULINO,34,#N/A,CD MX PATIO UNIVERSIDAD,19.4285,99.1277
