CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
90001124,1,BANCO,ACTIMED,Ciudad de Mexico,6426839.224,VENTA,MASCULINO,37.14444444,ENROLADO,1/4/2020
90006958,2,CASA DE BOLSA,EFECTIVO,Toluca,31546.39,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,55.86388889,NO ENROLADO,1/4/2020
90016130,2,CASA DE BOLSA,EFECTIVO,Queretaro,870554.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,79.33888889,NO ENROLADO,1/4/2020
90054321,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,278539.95,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,45.56666667,NO ENROLADO,1/4/2020
90085028,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,983622.45,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,81.43888889,NO ENROLADO,1/4/2020
90140740,1,BANCO,ACTIMED,Ciudad de Mexico,1680772.187,VENTA,MASCULINO,60.11944444,ENROLADO,1/4/2020
90185844,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,4823659.62,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,52.38055556,NO ENROLADO,1/4/2020
90187881,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,102878.38,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,85.20277778,ENROLADO,1/4/2020
90217712,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,2,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,63.19722222,NO ENROLADO,1/4/2020
90394941,1,BANCO,ACTIMED,Ciudad de Mexico,170177.8998,COMPRA,MASCULINO,40.39166667,ENROLADO,1/4/2020
90433376,1,BANCO,ACTIMED,Jalisco,107682.47,VENTA,MASCULINO,73.29722222,NO ENROLADO,1/4/2020
90583543,1,BANCO,ACTIMED,Jalisco,232047.8718,VENTA,FEMENINO,58.11388889,ENROLADO,1/4/2020
90599572,1,BANCO,ACTIVAR,Ciudad de Mexico,183346.7611,COMPRA,MASCULINO,46.80277778,ENROLADO,1/4/2020
90625708,1,BANCO,ACTIREN,Saltillo,2977833.614,COMPRA,MASCULINO,49.64444444,ENROLADO,1/4/2020
90641705,1,BANCO,ACTIMED,Jalisco,164678.5236,VENTA,MASCULINO,44.49444444,ENROLADO,1/4/2020
90752619,1,BANCO,ACTIVAR,Puebla,90142.52817,VENTA,MASCULINO,50.31666667,ENROLADO,1/4/2020
90783754,1,BANCO,IMPULSA,Jalisco,75588.93577,VENTA,FEMENINO,34.62777778,ENROLADO,1/4/2020
90789207,1,BANCO,ACTIMED,Morelia,11405.8868,VENTA,MASCULINO,42.45,ENROLADO,1/4/2020
90828799,1,BANCO,ACTIREN,Toluca,382889.1194,VENTA,MASCULINO,66.52777778,ENROLADO,1/4/2020
90853938,1,BANCO,ACTIREN,Toluca,655254.5008,COMPRA,FEMENINO,52.98611111,ENROLADO,1/4/2020
90877051,1,BANCO,CUENTA_EJE,Ciudad de Mexico,410762.0022,RETIRO,FEMENINO,78.33055556,NO ENROLADO,1/4/2020
90895087,1,BANCO,CUENTA_EJE,Ciudad de Mexico,50863194.21,RETIRO,MASCULINO,79.9,NO ENROLADO,1/4/2020
90933375,1,BANCO,ACTIREN,Jalapa,255614.3674,COMPRA,MASCULINO,35.23888889,ENROLADO,1/4/2020
91007351,1,BANCO,CUENTA_EJE,Ciudad de Mexico,900951.8319,RETIRO,FEMENINO,49.83055556,ENROLADO,1/4/2020
91056994,1,BANCO,ALTERNA,Ciudad de Mexico,411437.6066,VENTA,MASCULINO,49.79444444,ENROLADO,1/4/2020
91153262,1,BANCO,ACTICRE,Jalisco,472268.6599,VENTA,MASCULINO,64.28333333,ENROLADO,1/4/2020
91161604,1,BANCO,ACTVIDA,Ciudad de Mexico,23375.19334,VENTA,FEMENINO,51.24166667,ENROLADO,1/4/2020
91259788,1,BANCO,ACTIMED,Ciudad de Mexico,145662.276,COMPRA,MASCULINO,50.43888889,ENROLADO,1/4/2020
91331884,1,BANCO,ALTERNA,Ciudad de Mexico,5199172.961,VENTA,MASCULINO,51.78333333,ENROLADO,1/4/2020
91404806,1,BANCO,ACTIMED,Ciudad de Mexico,2456599.098,VENTA,FEMENINO,48.43333333,ENROLADO,1/4/2020
91434779,1,BANCO,ACTVIDA,Jalisco,713127.2416,VENTA,MASCULINO,33.47777778,ENROLADO,1/4/2020
