,CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION,ENTIDAD_FEDERATIVA,LAT,LONG
0,90001124.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,6426839.223999999,VENTA,MASCULINO,37.14444444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
1,90054321.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,278539.95,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,45.56666667,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
2,90085028.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,983622.45,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,81.43888889,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
3,90140740.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,1680772.187,VENTA,MASCULINO,60.11944444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
4,90187881.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,102878.38,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,85.20277778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
5,90217712.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,2.0,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,63.19722222,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
6,90394941.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,170177.8998,COMPRA,MASCULINO,40.39166667,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
7,90599572.0,1.0,BANCO,ACTIVAR,CIUDAD DE MÉXICO,183346.7611,COMPRA,MASCULINO,46.80277778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
8,90877051.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,410762.0022,RETIRO,FEMENINO,78.33055556,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
9,90895087.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,50863194.21,RETIRO,MASCULINO,79.9,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
10,91007351.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,900951.8319,RETIRO,FEMENINO,49.83055556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
11,91056994.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,411437.6066,VENTA,MASCULINO,49.79444444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
12,91161604.0,1.0,BANCO,ACTVIDA,CIUDAD DE MÉXICO,23375.19334,VENTA,FEMENINO,51.24166667,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
13,91259788.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,145662.27599999998,COMPRA,MASCULINO,50.43888889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
14,91331884.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,5199172.961,VENTA,MASCULINO,51.78333333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
15,91404806.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,2456599.098,VENTA,FEMENINO,48.43333333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
16,91659987.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,100440.5703,RETIRO,FEMENINO,40.92222222,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
17,91666958.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,269283.9571,VENTA,FEMENINO,82.94444444,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
