municipio_cvegeo,nombre,total_camas
1001,Aguascalientes,1271
1002,Asientos,0
1003,Calvillo,46
1004,Cosío,0
1005,Jesús María,297
1006,Pabellón de Arteaga,40
1007,Rincón de Romos,45
1008,San José de Gracia,0
1009,Tepezalá,0
1010,El Llano,0
1011,San Francisco de los Romo,0
2001,Ensenada,523
2002,Mexicali,1176
2003,Tecate,122
2004,Tijuana,2257
2005,Playas de Rosarito,64
3001,Comondú,142
3002,Mulegé,49
3003,La Paz,726
3008,Los Cabos,325
3009,Loreto,26
4001,Calkiní,27
4002,Campeche,652
4003,Carmen,285
4004,Champotón,33
4005,Hecelchakán,10
4006,Hopelchén,28
4007,Palizada,26
4008,Tenabo,0
4009,Escárcega,49
4010,Calakmul,19
4011,Candelaria,52
5001,Abasolo,0
5002,Acuña,134
5003,Allende,46
5004,Arteaga,0
5005,Candela,0
5006,Castaños,0
5007,Cuatro Ciénegas,30
5008,Escobedo,0
5009,Francisco I. Madero,50
5010,Frontera,0
5011,General Cepeda,0
5012,Guerrero,0
5013,Hidalgo,0
5014,Jiménez,0
5015,Juárez,0
5016,Lamadrid,0
5017,Matamoros,53
5018,Monclova,339
5019,Morelos,0
5020,Múzquiz,81
5021,Nadadores,0
5022,Nava,0
5023,Ocampo,0
5024,Parras,118
5025,Piedras Negras,244
5026,Progreso,0
5027,Ramos Arizpe,12
5028,Sabinas,45
5029,Sacramento,0
5030,Saltillo,847
5031,San Buenaventura,12
5032,San Juan de Sabinas,144
5033,San Pedro,106
5034,Sierra Mojada,0
5035,Torreón,1264
5036,Viesca,0
5037,Villa Unión,0
5038,Zaragoza,0
6001,Armería,0
6002,Colima,398
6003,Comala,0
6004,Coquimatlán,0
6005,Cuauhtémoc,0
6006,Ixtlahuacán,53
6007,Manzanillo,267
6008,Minatitlán,0
6009,Tecomán,108
6010,Villa de Álvarez,342
7001,Acacoyagua,0
7002,Acala,23
7003,Acapetahua,0
7004,Altamirano,76
7005,Amatán,0
7006,Amatenango de la Frontera,0
7007,Amatenango del Valle,0
7008,Angel Albino Corzo,23
7009,Arriaga,33
7010,Bejucal de Ocampo,0
7011,Bella Vista,0
7012,Berriozábal,12
7013,Bochil,28
7014,El Bosque,0
7015,Cacahoatán,0
7016,Catazajá,0
7017,Cintalapa,12
7018,Coapilla,0
7019,Comitán de Domínguez,231
7020,La Concordia,0
7021,Copainalá,0
7022,Chalchihuitán,11
7023,Chamula,10
7024,Chanal,0
7025,Chapultenango,0
7026,Chenalhó,0
7027,Chiapa de Corzo,17
7028,Chiapilla,0
7029,Chicoasén,0
7030,Chicomuselo,0
7031,Chilón,0
7032,Escuintla,0
7033,Francisco León,0
7034,Frontera Comalapa,41
7035,Frontera Hidalgo,0
7036,La Grandeza,0
7037,Huehuetán,0
7038,Huixtán,0
7039,Huitiupán,0
7040,Huixtla,43
7041,La Independencia,0
7042,Ixhuatán,0
7043,Ixtacomitán,0
7044,Ixtapa,0
7045,Ixtapangajoya,0
7046,Jiquipilas,0
7047,Jitotol,0
7048,Juárez,0
7049,Larráinzar,19
7050,La Libertad,0
7051,Mapastepec,42
7052,Las Margaritas,25
7053,Mazapa de Madero,0
7054,Mazatán,0
7055,Metapa,0
7056,Mitontic,0
7057,Motozintla,46
7058,Nicolás Ruíz,0
7059,Ocosingo,95
7060,Ocotepec,0
7061,Ocozocoautla de Espinosa,47
7062,Ostuacán,12
7063,Osumacinta,0
7064,Oxchuc,17
7065,Palenque,64
7066,Pantelhó,0
7067,Pantepec,0
7068,Pichucalco,60
7069,Pijijiapan,49
7070,El Porvenir,13
7071,Villa Comaltitlán,0
7072,Pueblo Nuevo Solistahuacán,0
7073,Rayón,0
7074,Reforma,50
7075,Las Rosas,17
7076,Sabanilla,0
7077,Salto de Agua,17
7078,San Cristóbal de las Casas,218
7079,San Fernando,0
7080,Siltepec,0
7081,Simojovel,16
7082,Sitalá,0
7083,Socoltenango,0
7084,Solosuchiapa,0
7085,Soyaló,0
7086,Suchiapa,7
7087,Suchiate,2
7088,Sunuapa,0
7089,Tapachula,701
7090,Tapalapa,0
7091,Tapilula,13
7092,Tecpatán,0
7093,Tenejapa,0
7094,Teopisca,12
7096,Tila,28
7097,Tonalá,44
7098,Totolapa,0
7099,La Trinitaria,0
7100,Tumbalá,0
7101,Tuxtla Gutiérrez,1143
7102,Tuxtla Chico,0
7103,Tuzantán,0
7104,Tzimol,0
7105,Unión Juárez,0
7106,Venustiano Carranza,30
7107,Villa Corzo,32
7108,Villaflores,149
7109,Yajalón,84
7110,San Lucas,0
7111,Zinacantán,0
7112,San Juan Cancuc,0
7113,Aldama,0
7114,Benemérito de las Américas,16
7115,Maravilla Tenejapa,0
7116,Marqués de Comillas,0
7117,Montecristo de Guerrero,0
7118,San Andrés Duraznal,0
7119,Santiago el Pinar,0
8001,Ahumada,0
8002,Aldama,6
8003,Allende,10
8004,Aquiles Serdán,0
8005,Ascensión,0
8006,Bachíniva,0
8007,Balleza,0
8008,Batopilas,0
8009,Bocoyna,35
8010,Buenaventura,0
8011,Camargo,93
8012,Carichí,0
8013,Casas Grandes,0
8014,Coronado,0
8015,Coyame del Sotol,0
8016,La Cruz,0
8017,Cuauhtémoc,273
8018,Cusihuiriachi,0
8019,Chihuahua,1635
8020,Chínipas,0
8021,Delicias,267
8022,Dr. Belisario Domínguez,0
8023,Galeana,0
8024,Santa Isabel,0
8025,Gómez Farías,31
8026,Gran Morelos,0
8027,Guachochi,27
8028,Guadalupe,0
8029,Guadalupe y Calvo,48
8030,Guazapares,0
8031,Guerrero,4
8032,Hidalgo del Parral,285
8033,Huejotitán,0
8034,Ignacio Zaragoza,0
8035,Janos,0
8036,Jiménez,37
8037,Juárez,2098
8038,Julimes,0
8039,López,0
8040,Madera,0
8041,Maguarichi,0
8042,Manuel Benavides,0
8043,Matachí,0
8044,Matamoros,0
8045,Meoqui,0
8046,Morelos,0
8047,Moris,0
8048,Namiquipa,22
8049,Nonoava,0
8050,Nuevo Casas Grandes,151
8051,Ocampo,0
8052,Ojinaga,31
8053,Praxedis G. Guerrero,0
8054,Riva Palacio,2
8055,Rosales,0
8056,Rosario,0
8057,San Francisco de Borja,0
8058,San Francisco de Conchos,0
8059,San Francisco del Oro,0
8060,Santa Bárbara,0
8061,Satevó,0
8062,Saucillo,14
8063,Temósachic,0
8064,El Tule,0
8065,Urique,0
8066,Uruachi,0
8067,Valle de Zaragoza,0
9002,Azcapotzalco,1926
9003,Coyoacï¿½n,1286
9004,Cuajimalpa de Morelos,59
9005,Gustavo A. Madero,2860
9006,Iztacalco,647
9007,Iztapalapa,2126
9008,La Magdalena Contreras,71
9009,Milpa Alta,168
9010,ï¿½lvaro Obregï¿½n,1993
9011,Tlï¿½huac,520
9012,Tlalpan,2713
9013,Xochimilco,225
9014,Benito Juï¿½rez,1664
9015,Cuauhtï¿½moc,4124
9016,Miguel Hidalgo,2834
9017,Venustiano Carranza,687
10001,Canatlán,29
10002,Canelas,0
10003,Coneto de Comonfort,0
10004,Cuencamé,52
10005,Durango,1224
10006,General Simón Bolívar,8
10007,Gómez Palacio,412
10008,Guadalupe Victoria,12
10009,Guanaceví,0
10010,Hidalgo,0
10011,Indé,0
10012,Lerdo,108
10013,Mapimí,8
10014,Mezquital,44
10015,Nazas,8
10016,Nombre de Dios,0
10017,Ocampo,9
10018,El Oro,30
10019,Otáez,0
10020,Pánuco de Coronado,9
10021,Peñón Blanco,8
10022,Poanas,15
10023,Pueblo Nuevo,38
10024,Rodeo,11
10025,San Bernardo,0
10026,San Dimas,0
10027,San Juan de Guadalupe,0
10028,San Juan del Río,9
10029,San Luis del Cordero,0
10030,San Pedro del Gallo,0
10031,Santa Clara,0
10032,Santiago Papasquiaro,67
10033,Súchil,12
10034,Tamazula,23
10035,Tepehuanes,0
10036,Tlahualilo,0
10037,Topia,0
10038,Vicente Guerrero,16
10039,Nuevo Ideal,15
11001,Abasolo,43
11002,Acámbaro,86
11003,San Miguel de Allende,102
11004,Apaseo el Alto,29
11005,Apaseo el Grande,18
11006,Atarjea,0
11007,Celaya,658
11008,Manuel Doblado,22
11009,Comonfort,33
11010,Coroneo,0
11011,Cortazar,11
11012,Cuerámaro,0
11013,Doctor Mora,3
11014,Dolores Hidalgo Cuna de la Independencia Nacional,110
11015,Guanajuato,134
11016,Huanímaro,23
11017,Irapuato,499
11018,Jaral del Progreso,36
11019,Jerécuaro,18
11020,León,2494
11021,Moroleón,47
11022,Ocampo,0
11023,Pénjamo,53
11024,Pueblo Nuevo,12
11025,Purísima del Rincón,28
11026,Romita,17
11027,Salamanca,171
11028,Salvatierra,60
11029,San Diego de la Unión,9
11030,San Felipe,26
11031,San Francisco del Rincón,38
11032,San José Iturbide,49
11033,San Luis de la Paz,88
11034,Santa Catarina,0
11035,Santa Cruz de Juventino Rosas,19
11036,Santiago Maravatío,0
11037,Silao,81
11038,Tarandacuao,10
11039,Tarimoro,18
11040,Tierra Blanca,0
11041,Uriangato,66
11042,Valle de Santiago,66
11043,Victoria,0
11044,Villagrán,20
11045,Xichú,0
11046,Yuriria,30
12001,Acapulco de Juárez,1046
12002,Ahuacuotzingo,0
12003,Ajuchitlán del Progreso,0
12004,Alcozauca de Guerrero,15
12005,Alpoyeca,0
12006,Apaxtla,0
12007,Arcelia,12
12008,Atenango del Río,0
12009,Atlamajalcingo del Monte,0
12010,Atlixtac,0
12011,Atoyac de Álvarez,30
12012,Ayutla de los Libres,36
12013,Azoyú,0
12014,Benito Juárez,0
12015,Buenavista de Cuéllar,0
12016,Coahuayutla de José María Izazaga,12
12017,Cocula,0
12018,Copala,2
12019,Copalillo,0
12020,Copanatoyac,0
12021,Coyuca de Benítez,11
12022,Coyuca de Catalán,147
12023,Cuajinicuilapa,12
12024,Cualác,0
12025,Cuautepec,0
12026,Cuetzala del Progreso,0
12027,Cutzamala de Pinzón,0
12028,Chilapa de Álvarez,46
12029,Chilpancingo de los Bravo,290
12030,Florencio Villarreal,0
12031,General Canuto A. Neri,0
12032,General Heliodoro Castillo,12
12033,Huamuxtitlán,7
12034,Huitzuco de los Figueroa,31
12035,Iguala de la Independencia,170
12036,Igualapa,0
12037,Ixcateopan de Cuauhtémoc,0
12038,Zihuatanejo de Azueta,103
12039,Juan R. Escudero,0
12040,Leonardo Bravo,15
12041,Malinaltepec,12
12042,Mártir de Cuilapan,0
12043,Metlatónoc,0
12044,Mochitlán,0
12045,Olinalá,12
12046,Ometepec,40
12047,Pedro Ascencio Alquisiras,0
12048,Petatlán,12
12049,Pilcaya,0
12050,Pungarabato,7
12051,Quechultenango,12
12052,San Luis Acatlán,12
12053,San Marcos,18
12054,San Miguel Totolapan,0
12055,Taxco de Alarcón,79
12056,Tecoanapa,0
12057,Técpan de Galeana,12
12058,Teloloapan,20
12059,Tepecoacuilco de Trujano,10
12060,Tetipac,0
12061,Tixtla de Guerrero,12
12062,Tlacoachistlahuaca,0
12063,Tlacoapa,12
12064,Tlalchapa,0
12065,Tlalixtaquilla de Maldonado,0
12066,Tlapa de Comonfort,82
12067,Tlapehuala,0
12068,La Unión de Isidoro Montes de Oca,30
12069,Xalpatláhuac,0
12070,Xochihuehuetlán,9
12071,Xochistlahuaca,10
12072,Zapotitlán Tablas,20
12073,Zirándaro,0
12074,Zitlala,0
12075,Eduardo Neri,203
12076,Acatepec,12
12077,Marquelia,0
12078,Cochoapa el Grande,0
12079,José Joaquin de Herrera,0
12080,Juchitán,0
12081,Iliatenco,0
13001,Acatlán,2
13002,Acaxochitlán,3
13003,Actopan,118
13004,Agua Blanca de Iturbide,0
13005,Ajacuba,0
13006,Alfajayucan,0
13007,Almoloya,0
13008,Apan,95
13009,El Arenal,0
13010,Atitalaquia,6
13011,Atlapexco,22
13012,Atotonilco el Grande,4
13013,Atotonilco de Tula,9
13014,Calnali,0
13015,Cardonal,0
13016,Cuautepec de Hinojosa,28
13017,Chapantongo,0
13018,Chapulhuacán,0
13019,Chilcuautla,7
13020,Eloxochitlán,0
13021,Emiliano Zapata,0
13022,Epazoyucan,0
13023,Francisco I. Madero,14
13024,Huasca de Ocampo,9
13025,Huautla,0
13026,Huazalingo,0
13027,Huehuetla,16
13028,Huejutla de Reyes,195
13029,Huichapan,49
13030,Ixmiquilpan,198
13031,Jacala de Ledezma,26
13032,Jaltocán,0
13033,Juárez Hidalgo,0
13034,Lolotla,0
13035,Metepec,55
13036,San Agustín Metzquititlán,0
13037,Metztitlán,3
13038,Mineral del Chico,0
13039,Mineral del Monte,0
13040,La Misión,0
13041,Mixquiahuala de Juárez,60
13042,Molango de Escamilla,0
13043,Nicolás Flores,0
13044,Nopala de Villagrán,3
13045,Omitlán de Juárez,0
13046,San Felipe Orizatlán,3
13047,Pacula,0
13048,Pachuca de Soto,790
13049,Pisaflores,0
13050,Progreso de Obregón,31
13051,Mineral de la Reforma,20
13052,San Agustín Tlaxiaca,9
13053,San Bartolo Tutotepec,23
13054,San Salvador,0
13055,Santiago de Anaya,6
13056,Santiago Tulantepec de Lugo Guerrero,149
13057,Singuilucan,0
13058,Tasquillo,5
13059,Tecozautla,6
13060,Tenango de Doria,0
13061,Tepeapulco,67
13062,Tepehuacán de Guerrero,8
13063,Tepeji del Río de Ocampo,47
13064,Tepetitlán,5
13065,Tetepango,3
13066,Villa de Tezontepec,1
13067,Tezontepec de Aldama,11
13068,Tianguistengo,0
13069,Tizayuca,93
13070,Tlahuelilpan,6
13071,Tlahuiltepa,0
13072,Tlanalapa,0
13073,Tlanchinol,28
13074,Tlaxcoapan,30
13075,Tolcayuca,157
13076,Tula de Allende,240
13077,Tulancingo de Bravo,281
13078,Xochiatipan,0
13079,Xochicoatlán,0
13080,Yahualica,0
13081,Zacualtipán de Ángeles,73
13082,Zapotlán de Juárez,44
13083,Zempoala,0
13084,Zimapán,16
14001,Acatic,4
14002,Acatlán de Juárez,0
14003,Ahualulco de Mercado,0
14004,Amacueca,0
14005,Amatitán,0
14006,Ameca,31
14007,San Juanito de Escobedo,0
14008,Arandas,101
14009,El Arenal,0
14010,Atemajac de Brizuela,0
14011,Atengo,0
14012,Atenguillo,0
14013,Atotonilco el Alto,41
14014,Atoyac,0
14015,Autlán de Navarro,95
14016,Ayotlán,0
14017,Ayutla,0
14018,La Barca,105
14019,Bolaños,0
14020,Cabo Corrientes,0
14021,Casimiro Castillo,6
14022,Cihuatlán,21
14023,Zapotlán el Grande,228
14024,Cocula,42
14025,Colotlán,44
14026,Concepción de Buenos Aires,0
14027,Cuautitlán de García Barragán,0
14028,Cuautla,0
14029,Cuquío,0
14030,Chapala,15
14031,Chimaltitán,0
14032,Chiquilistlán,0
14033,Degollado,7
14034,Ejutla,0
14035,Encarnación de Díaz,17
14036,Etzatlán,0
14037,El Grullo,26
14038,Guachinango,0
14039,Guadalajara,5548
14040,Hostotipaquillo,0
14041,Huejúcar,0
14042,Huejuquilla el Alto,12
14043,La Huerta,21
14044,Ixtlahuacán de los Membrillos,0
14045,Ixtlahuacán del Río,5
14046,Jalostotitlán,23
14047,Jamay,0
14048,Jesús María,0
14049,Jilotlán de los Dolores,0
14050,Jocotepec,39
14051,Juanacatlán,0
14052,Juchitlán,0
14053,Lagos de Moreno,136
14054,El Limón,0
14055,Magdalena,30
14056,Santa María del Oro,0
14057,La Manzanilla de la Paz,0
14058,Mascota,16
14059,Mazamitla,12
14060,Mexticacán,0
14061,Mezquitic,0
14062,Mixtlán,0
14063,Ocotlán,142
14064,Ojuelos de Jalisco,19
14065,Pihuamo,0
14066,Poncitlán,0
14067,Puerto Vallarta,266
14068,Villa Purificación,0
14069,Quitupan,0
14070,El Salto,11
14071,San Cristóbal de la Barranca,0
14072,San Diego de Alejandría,0
14073,San Juan de los Lagos,47
14074,San Julián,0
14075,San Marcos,0
14076,San Martín de Bolaños,0
14077,San Martín Hidalgo,0
14078,San Miguel el Alto,20
14079,Gómez Farías,0
14080,San Sebastián del Oeste,0
14081,Santa María de los Ángeles,0
14082,Sayula,30
14083,Tala,92
14084,Talpa de Allende,0
14085,Tamazula de Gordiano,56
14086,Tapalpa,0
14087,Tecalitlán,0
14088,Tecolotlán,0
14089,Techaluta de Montenegro,0
14090,Tenamaxtlán,0
14091,Teocaltiche,28
14092,Teocuitatlán de Corona,0
14093,Tepatitlán de Morelos,249
14094,Tequila,0
14095,Teuchitlán,0
14096,Tizapán el Alto,9
14097,Tlajomulco de Zúñiga,635
14098,Tlaquepaque,33
14099,Tolimán,0
14100,Tomatlán,16
14101,Tonalá,28
14102,Tonaya,0
14103,Tonila,0
14104,Totatiche,0
14105,Tototlán,2
14106,Tuxcacuesco,0
14107,Tuxcueca,0
14108,Tuxpan,4
14109,Unión de San Antonio,0
14110,Unión de Tula,0
14111,Valle de Guadalupe,0
14112,Valle de Juárez,4
14113,San Gabriel,0
14114,Villa Corona,13
14115,Villa Guerrero,0
14116,Villa Hidalgo,15
14117,Cañadas de Obregón,0
14118,Yahualica de González Gallo,61
14119,Zacoalco de Torres,0
14120,Zapopan,995
14121,Zapotiltic,9
14122,Zapotitlán de Vadillo,0
14123,Zapotlán del Rey,0
14124,Zapotlanejo,39
14125,San Ignacio Cerro Gordo,3
15001,Acambay,28
15002,Acolman,825
15003,Aculco,0
15004,Almoloya de Alquisiras,0
15005,Almoloya de Juárez,0
15006,Almoloya del Río,0
15007,Amanalco,11
15008,Amatepec,0
15009,Amecameca,131
15010,Apaxco,0
15011,Atenco,6
15012,Atizapán,20
15013,Atizapán de Zaragoza,317
15014,Atlacomulco,155
15015,Atlautla,0
15016,Axapusco,98
15017,Ayapango,0
15018,Calimaya,0
15019,Capulhuac,14
15020,Coacalco de Berriozábal,179
15021,Coatepec Harinas,26
15022,Cocotitlán,0
15023,Coyotepec,0
15024,Cuautitlán,263
15025,Chalco,303
15026,Chapa de Mota,0
15027,Chapultepec,0
15028,Chiautla,0
15029,Chicoloapan,20
15030,Chiconcuac,35
15031,Chimalhuacán,278
15032,Donato Guerra,0
15033,Ecatepec de Morelos,1017
15034,Ecatzingo,0
15035,Huehuetoca,36
15036,Hueypoxtla,55
15037,Huixquilucan,241
15038,Isidro Fabela,0
15039,Ixtapaluca,700
15040,Ixtapan de la Sal,56
15041,Ixtapan del Oro,0
15042,Ixtlahuaca,51
15043,Xalatlaco,25
15044,Jaltenco,0
15045,Jilotepec,60
15046,Jilotzingo,0
15047,Jiquipilco,34
15048,Jocotitlán,0
15049,Joquicingo,0
15050,Juchitepec,0
15051,Lerma,93
15052,Malinalco,28
15053,Melchor Ocampo,0
15054,Metepec,405
15055,Mexicaltzingo,0
15056,Morelos,0
15057,Naucalpan de Juárez,938
15058,Nezahualcóyotl,586
15059,Nextlalpan,5
15060,Nicolás Romero,89
15061,Nopaltepec,0
15062,Ocoyoacac,0
15063,Ocuilan,0
15064,El Oro,17
15065,Otumba,40
15066,Otzoloapan,0
15067,Otzolotepec,12
15068,Ozumba,0
15069,Papalotla,0
15070,La Paz,226
15071,Polotitlán,0
15072,Rayón,22
15073,San Antonio la Isla,0
15074,San Felipe del Progreso,75
15075,San Martín de las Pirámides,6
15076,San Mateo Atenco,0
15077,San Simón de Guerrero,0
15078,Santo Tomás,0
15079,Soyaniquilpan de Juárez,0
15080,Sultepec,14
15081,Tecámac,282
15082,Tejupilco,130
15083,Temamatla,25
15084,Temascalapa,2
15085,Temascalcingo,24
15086,Temascaltepec,37
15087,Temoaya,28
15088,Tenancingo,128
15089,Tenango del Aire,0
15090,Tenango del Valle,24
15091,Teoloyucán,14
15092,Teotihuacán,18
15093,Tepetlaoxtoc,3
15094,Tepetlixpa,32
15095,Tepotzotlán,10
15096,Tequixquiac,0
15097,Texcaltitlán,21
15098,Texcalyacac,0
15099,Texcoco,423
15100,Tezoyuca,0
15101,Tianguistenco,0
15102,Timilpan,0
15103,Tlalmanalco,0
15104,Tlalnepantla de Baz,893
15105,Tlatlaya,29
15106,Toluca,1751
15107,Tonatico,0
15108,Tultepec,0
15109,Tultitlán,247
15110,Valle de Bravo,117
15111,Villa de Allende,0
15112,Villa del Carbón,37
15113,Villa Guerrero,16
15114,Villa Victoria,32
15115,Xonacatlán,36
15116,Zacazonapan,0
15117,Zacualpan,22
15118,Zinacantepec,7
15119,Zumpahuacán,0
15120,Zumpango,287
15121,Cuautitlán Izcalli,244
15122,Valle de Chalco Solidaridad,133
15123,Luvianos,23
15124,San José del Rincón,70
15125,Tonanitla,0
16001,Acuitzio,6
16002,Aguililla,0
16003,Álvaro Obregón,4
16004,Angamacutiro,12
16005,Angangueo,0
16006,Apatzingán,223
16007,Aporo,0
16008,Aquila,17
16009,Ario,58
16010,Arteaga,10
16011,Briseñas,0
16012,Buenavista,30
16013,Carácuaro,0
16014,Coahuayana,10
16015,Coalcomán de Vázquez Pallares,26
16016,Coeneo,10
16017,Contepec,0
16018,Copándaro,3
16019,Cotija,8
16020,Cuitzeo,8
16021,Charapan,0
16022,Charo,519
16023,Chavinda,0
16024,Cherán,12
16025,Chilchota,0
16026,Chinicuila,0
16027,Chucándiro,2
16028,Churintzio,1
16029,Churumuco,0
16030,Ecuandureo,0
16031,Epitacio Huerta,7
16032,Erongarícuaro,0
16033,Gabriel Zamora,0
16034,Hidalgo,119
16035,La Huacana,28
16036,Huandacareo,5
16037,Huaniqueo,5
16038,Huetamo,73
16039,Huiramba,0
16040,Indaparapeo,10
16041,Irimbo,4
16042,Ixtlán,0
16043,Jacona,14
16044,Jiménez,12
16045,Jiquilpan,30
16046,Juárez,0
16047,Jungapeo,0
16048,Lagunillas,3
16049,Madero,8
16050,Maravatío,82
16051,Marcos Castellanos,4
16052,Lázaro Cárdenas,241
16053,Morelia,1407
16054,Morelos,0
16055,Múgica,22
16056,Nahuatzen,5
16057,Nocupétaro,18
16058,Nuevo Parangaricutiro,0
16059,Nuevo Urecho,0
16060,Numarán,0
16061,Ocampo,0
16062,Pajacuarán,6
16063,Panindícuaro,8
16064,Parácuaro,0
16065,Paracho,36
16066,Pátzcuaro,154
16067,Penjamillo,4
16068,Peribán,0
16069,La Piedad,189
16070,Purépero,24
16071,Puruándiro,125
16072,Queréndaro,13
16073,Quiroga,24
16074,Cojumatlán de Régules,0
16075,Los Reyes,92
16076,Sahuayo,101
16077,San Lucas,0
16078,Santa Ana Maya,0
16079,Salvador Escalante,2
16080,Senguio,0
16081,Susupuato,0
16082,Tacámbaro,73
16083,Tancítaro,0
16084,Tangamandapio,16
16085,Tangancícuaro,18
16086,Tanhuato,3
16087,Taretan,0
16088,Tarímbaro,27
16089,Tepalcatepec,0
16090,Tingambato,0
16091,Tingüindín,0
16092,Tiquicheo de Nicolás Romero,0
16093,Tlalpujahua,0
16094,Tlazazalca,3
16095,Tocumbo,0
16096,Tumbiscatío,0
16097,Turicato,0
16098,Tuxpan,49
16099,Tuzantla,23
16100,Tzintzuntzan,0
16101,Tzitzio,0
16102,Uruapan,420
16103,Venustiano Carranza,4
16104,Villamar,30
16105,Vista Hermosa,5
16106,Yurécuaro,17
16107,Zacapu,212
16108,Zamora,347
16109,Zináparo,0
16110,Zinapécuaro,18
16111,Ziracuaretiro,0
16112,Zitácuaro,179
16113,José Sixto Verduzco,4
17001,Amacuzac,0
17002,Atlatlahucan,0
17003,Axochiapan,158
17004,Ayala,3
17005,Coatlán del Río,0
17006,Cuautla,372
17007,Cuernavaca,642
17008,Emiliano Zapata,223
17009,Huitzilac,0
17010,Jantetelco,0
17011,Jiutepec,8
17012,Jojutla,106
17013,Jonacatepec,27
17014,Mazatepec,0
17015,Miacatlán,0
17016,Ocuituco,25
17017,Puente de Ixtla,27
17018,Temixco,62
17019,Tepalcingo,3
17020,Tepoztlán,0
17021,Tetecala,64
17022,Tetela del Volcán,5
17023,Tlalnepantla,0
17024,Tlaltizapán,0
17025,Tlaquiltenango,0
17026,Tlayacapan,0
17027,Totolapan,0
17028,Xochitepec,0
17029,Yautepec,108
17030,Yecapixtla,19
17031,Zacatepec,50
17032,Zacualpan,0
17033,Temoac,0
18001,Acaponeta,45
18002,Ahuacatlán,0
18003,Amatlán de Cañas,0
18004,Compostela,68
18005,Huajicori,0
18006,Ixtlán del Río,61
18007,Jala,0
18008,Xalisco,0
18009,Del Nayar,31
18010,Rosamorada,63
18011,Ruíz,0
18012,San Blas,15
18013,San Pedro Lagunillas,0
18014,Santa María del Oro,0
18015,Santiago Ixcuintla,73
18016,Tecuala,39
18017,Tepic,929
18018,Tuxpan,43
18019,La Yesca,18
18020,Bahía de Banderas,122
19001,Abasolo,0
19002,Agualeguas,0
19003,Los Aldamas,0
19004,Allende,0
19005,Anáhuac,0
