municipio_cvegeo,total_camas,Nom_Ent,Nom_Mun,municipio_cvegeo,total_camas,Nom_Mun,Entidad,Total_camas
1001,1271,Aguascalientes,Aguascalientes,1001,1271,Aguascalientes,Aguascalientes,1699
1002,0,Aguascalientes,Asientos,1002,0,Asientos,Baja California,4142
1003,46,Aguascalientes,Calvillo,1003,46,Calvillo,Baja California Sur,1268
1004,0,Aguascalientes,Cosío,1004,0,Cosío,Campeche,1181
1005,297,Aguascalientes,Jesús María,1005,297,Jesús María,Chiapas,3628
1006,40,Aguascalientes,Pabellón de Arteaga,1006,40,Pabellón de Arteaga,Chihuahua,5069
1007,45,Aguascalientes,Rincón de Romos,1007,45,Rincón de Romos,Ciudad de México,23903
1008,0,Aguascalientes,San José de Gracia,1008,0,San José de Gracia,Coahuila de Zaragoza,3525
1009,0,Aguascalientes,Tepezalá,1009,0,Tepezalá,Colima,1168
1010,0,Aguascalientes,El Llano,1010,0,El Llano,Durango,2167
1011,0,Aguascalientes,San Francisco de los Romo,1011,0,San Francisco de los Romo,Guanajuato,5227
2001,523,Baja California,Ensenada,2001,523,Ensenada,Guerrero,2633
2002,1176,Baja California,Mexicali,2002,1176,Mexicali,Hidalgo,3074
2003,122,Baja California,Tecate,2003,122,Tecate,Jalisco,9451
2004,2257,Baja California,Tijuana,2004,2257,Tijuana,México,12685
2005,64,Baja California,Playas de Rosarito,2005,64,Playas de Rosarito,Michoacán de Ocampo,5282
3001,142,Baja California Sur,Comondú,3001,142,Comondú,Morelos,1902
3002,49,Baja California Sur,Mulegé,3002,49,Mulegé,Nayarit,1507
3003,726,Baja California Sur,La Paz,3003,726,La Paz,Nuevo León,6308
3008,325,Baja California Sur,Los Cabos,3008,325,Los Cabos,Oaxaca,3006
3009,26,Baja California Sur,Loreto,3009,26,Loreto,Puebla,8430
4001,27,Campeche,Calkiní,4001,27,Calkiní,Querétaro,2585
4002,652,Campeche,Campeche,4002,652,Campeche,Quintana Roo,1808
4003,285,Campeche,Carmen,4003,285,Carmen,San Luis Potosí,2891
4004,33,Campeche,Champotón,4004,33,Champotón,Sinaloa,3743
4005,10,Campeche,Hecelchakán,4005,10,Hecelchakán,Sonora,4249
4006,28,Campeche,Hopelchén,4006,28,Hopelchén,Tabasco,2570
4007,26,Campeche,Palizada,4007,26,Palizada,Tamaulipas,5199
4008,0,Campeche,Tenabo,4008,0,Tenabo,Tlaxcala,1502
4009,49,Campeche,Escárcega,4009,49,Escárcega,Veracruz de Ignacio de la Llave,7137
4010,19,Campeche,Calakmul,4010,19,Calakmul,Yucatán,3003
4011,52,Campeche,Candelaria,4011,52,Candelaria,Zacatecas,1122
